1,0,VFL Lisbon,1,1,0,0,3,1,2,3,Season 61592
2,0,VFL Ankara,1,1,0,0,2,1,1,3,Season 61592
2,0,VFL Athens,1,1,0,0,2,1,1,3,Season 61592
2,0,VFL Paris,1,1,0,0,2,1,1,3,Season 61592
5,0,VFL Amsterdam,1,1,0,0,1,0,1,3,Season 61592
5,0,VFL Oslo,1,1,0,0,1,0,1,3,Season 61592
7,0,VFL Bern,1,0,1,0,1,1,0,1,Season 61592
7,0,VFL London,1,0,1,0,1,1,0,1,Season 61592
9,0,VFL Berlin,1,0,1,0,0,0,0,1,Season 61592
9,0,VFL Brussels,1,0,1,0,0,0,0,1,Season 61592
11,0,VFL Edinburgh,1,0,0,1,1,2,-1,0,Season 61592
11,0,VFL Madrid,1,0,0,1,1,2,-1,0,Season 61592
11,0,VFL Vienna,1,0,0,1,1,2,-1,0,Season 61592
14,0,VFL Copenhagen,1,0,0,1,0,1,-1,0,Season 61592
14,0,VFL Rome,1,0,0,1,0,1,-1,0,Season 61592
16,0,VFL Stockholm,1,0,0,1,1,3,-2,0,Season 61592
1,-1,VFL Ankara,2,2,0,0,4,1,3,6,Season 61592
2,-1,VFL Amsterdam,2,2,0,0,2,0,2,6,Season 61592
3,-1,VFL London,2,1,1,0,4,1,3,4,Season 61592
4,-1,VFL Bern,2,1,1,0,3,1,2,4,Season 61592
4,1,VFL Lisbon,2,1,1,0,3,1,2,4,Season 61592
6,-1,VFL Berlin,2,1,1,0,1,0,1,4,Season 61592
6,1,VFL Oslo,2,1,1,0,1,0,1,4,Season 61592
8,-1,VFL Madrid,2,1,0,1,3,3,0,3,Season 61592
9,1,VFL Athens,2,1,0,1,2,3,-1,3,Season 61592
10,1,VFL Paris,2,1,0,1,2,4,-2,3,Season 61592
11,0,VFL Edinburgh,2,0,1,1,1,2,-1,1,Season 61592
12,-1,VFL Copenhagen,2,0,1,1,0,1,-1,1,Season 61592
12,1,VFL Brussels,2,0,1,1,0,1,-1,1,Season 61592
14,1,VFL Vienna,2,0,0,2,1,3,-2,0,Season 61592
15,-1,VFL Stockholm,2,0,0,2,2,5,-3,0,Season 61592
16,1,VFL Rome,2,0,0,2,0,3,-3,0,Season 61592
1,0,VFL Ankara,3,3,0,0,6,1,5,9,Season 61592
2,0,VFL Amsterdam,3,3,0,0,5,0,5,9,Season 61592
3,0,VFL London,3,2,1,0,8,3,5,7,Season 61592
4,0,VFL Lisbon,3,1,2,0,3,1,2,5,Season 61592
5,-1,VFL Oslo,3,1,2,0,3,2,1,5,Season 61592
6,0,VFL Berlin,3,1,2,0,2,1,1,5,Season 61592
7,-1,VFL Brussels,3,1,1,1,2,1,1,4,Season 61592
8,0,VFL Madrid,3,1,1,1,5,5,0,4,Season 61592
9,0,VFL Athens,3,1,1,1,3,4,-1,4,Season 61592
9,1,VFL Bern,3,1,1,1,3,4,-1,4,Season 61592
11,-1,VFL Rome,3,1,0,2,1,3,-2,3,Season 61592
12,1,VFL Paris,3,1,0,2,2,5,-3,3,Season 61592
13,1,VFL Edinburgh,3,0,2,1,1,2,-1,2,Season 61592
14,1,VFL Copenhagen,3,0,1,2,0,3,-3,1,Season 61592
15,1,VFL Vienna,3,0,0,3,1,5,-4,0,Season 61592
16,1,VFL Stockholm,3,0,0,3,4,9,-5,0,Season 61592
1,-1,VFL Amsterdam,4,4,0,0,7,0,7,12,Season 61592
2,-1,VFL London,4,3,1,0,10,4,6,10,Season 61592
3,1,VFL Ankara,4,3,0,1,6,4,2,9,Season 61592
4,0,VFL Lisbon,4,2,2,0,6,1,5,8,Season 61592
5,-1,VFL Berlin,4,2,2,0,5,1,4,8,Season 61592
6,-1,VFL Brussels,4,2,1,1,4,1,3,7,Season 61592
7,1,VFL Oslo,4,1,2,1,4,4,0,5,Season 61592
8,-1,VFL Edinburgh,4,1,2,1,3,3,0,5,Season 61592
9,0,VFL Bern,4,1,2,1,4,5,-1,5,Season 61592
10,1,VFL Madrid,4,1,1,2,6,7,-1,4,Season 61592
11,1,VFL Athens,4,1,1,2,3,6,-3,4,Season 61592
11,-1,VFL Paris,4,1,1,2,3,6,-3,4,Season 61592
13,-1,VFL Stockholm,4,1,0,3,7,9,-2,3,Season 61592
14,1,VFL Rome,4,1,0,3,1,6,-5,3,Season 61592
15,1,VFL Copenhagen,4,0,1,3,0,6,-6,1,Season 61592
16,1,VFL Vienna,4,0,0,4,1,7,-6,0,Season 61592
1,0,VFL Amsterdam,5,5,0,0,10,2,8,15,Season 61592
2,0,VFL London,5,4,1,0,13,5,8,13,Season 61592
3,-1,VFL Berlin,5,3,2,0,8,2,6,11,Season 61592
4,1,VFL Ankara,5,3,0,2,8,8,0,9,Season 61592
5,1,VFL Lisbon,5,2,2,1,7,4,3,8,Season 61592
6,0,VFL Brussels,5,2,2,1,4,1,3,8,Season 61592
7,-1,VFL Madrid,5,2,1,2,10,9,1,7,Season 61592
8,-1,VFL Athens,5,2,1,2,5,6,-1,7,Season 61592
9,1,VFL Oslo,5,1,3,1,4,4,0,6,Season 61592
10,1,VFL Bern,5,1,3,1,5,6,-1,6,Season 61592
11,1,VFL Edinburgh,5,1,2,2,4,6,-2,5,Season 61592
12,-1,VFL Stockholm,5,1,1,3,8,10,-2,4,Season 61592
13,1,VFL Paris,5,1,1,3,5,9,-4,4,Season 61592
14,0,VFL Rome,5,1,1,3,1,6,-5,4,Season 61592
15,0,VFL Copenhagen,5,0,2,3,0,6,-6,2,Season 61592
16,0,VFL Vienna,5,0,0,5,1,9,-8,0,Season 61592
1,0,VFL Amsterdam,6,6,0,0,13,2,11,18,Season 61592
2,0,VFL London,6,5,1,0,15,5,10,16,Season 61592
3,0,VFL Berlin,6,4,2,0,10,3,7,14,Season 61592
4,-1,VFL Lisbon,6,2,3,1,7,4,3,9,Season 61592
