1,0,VFL London,12,9,3,0,26,:,4,22,30,,Season 61441
2,0,VFL Rome,12,9,2,1,23,:,5,18,29,,Season 61441
3,0,VFL Oslo,12,7,1,4,23,:,11,12,22,,Season 61441
4,0,VFL Stockholm,12,7,1,4,21,:,16,5,22,,Season 61441
5,0,VFL Amsterdam,12,6,3,3,23,:,15,8,21,,Season 61441
6,-1,VFL Ankara,12,6,2,4,13,:,17,-4,20,,Season 61441
7,1,VFL Lisbon,12,5,4,3,11,:,8,3,19,,Season 61441
8,1,VFL Madrid,12,6,1,5,18,:,17,1,19,,Season 61441
9,1,VFL Berlin,12,5,3,4,12,:,14,-2,18,,Season 61441
10,0,VFL Paris,12,5,1,6,14,:,15,-1,16,,Season 61441
11,-1,VFL Copenhagen,12,3,4,5,15,:,14,1,13,,Season 61441
12,1,VFL Brussels,12,3,3,6,10,:,17,-7,12,,Season 61441
13,0,VFL Edinburgh,12,3,0,9,7,:,26,-19,9,,Season 61441
14,0,VFL Bern,12,1,4,7,7,:,15,-8,7,,Season 61441
15,0,VFL Vienna,12,1,4,7,6,:,20,-14,7,,Season 61441
16,0,VFL Athens,12,2,0,10,4,:,19,-15,6,,Season 61441
1,0,VFL London,13,10,3,0,28,:,4,24,33,,Season 61441
2,0,VFL Rome,13,9,2,2,25,:,8,17,29,,Season 61441
3,0,VFL Oslo,13,8,1,4,27,:,11,16,25,,Season 61441
4,-1,VFL Amsterdam,13,7,3,3,27,:,16,11,24,,Season 61441
5,-1,VFL Lisbon,13,6,4,3,13,:,8,5,22,,Season 61441
6,1,VFL Stockholm,13,7,1,5,21,:,18,3,22,,Season 61441
7,-1,VFL Madrid,13,7,1,5,21,:,19,2,22,,Season 61441
8,-1,VFL Berlin,13,6,3,4,13,:,14,-1,21,,Season 61441
9,1,VFL Ankara,13,6,2,5,13,:,19,-6,20,,Season 61441
10,0,VFL Paris,13,5,2,6,16,:,17,-1,17,,Season 61441
11,-1,VFL Brussels,13,4,3,6,11,:,17,-6,15,,Season 61441
12,1,VFL Copenhagen,13,3,4,6,15,:,15,0,13,,Season 61441
13,0,VFL Edinburgh,13,3,1,9,9,:,28,-19,10,,Season 61441
14,0,VFL Bern,13,1,4,8,7,:,19,-12,7,,Season 61441
15,0,VFL Vienna,13,1,4,8,6,:,21,-15,7,,Season 61441
16,0,VFL Athens,13,2,0,11,5,:,23,-18,6,,Season 61441
1,0,VFL London,14,11,3,0,30,:,5,25,36,,Season 61441
2,0,VFL Rome,14,10,2,2,27,:,8,19,32,,Season 61441
3,-1,VFL Amsterdam,14,8,3,3,31,:,17,14,27,,Season 61441
4,1,VFL Oslo,14,8,1,5,28,:,13,15,25,,Season 61441
5,-1,VFL Stockholm,14,8,1,5,22,:,18,4,25,,Season 61441
6,-1,VFL Berlin,14,7,3,4,14,:,14,0,24,,Season 61441
7,1,VFL Lisbon,14,6,4,4,14,:,10,4,22,,Season 61441
8,1,VFL Madrid,14,7,1,6,22,:,23,-1,22,,Season 61441
9,0,VFL Ankara,14,6,3,5,14,:,20,-6,21,,Season 61441
10,0,VFL Paris,14,5,2,7,16,:,18,-2,17,,Season 61441
11,0,VFL Brussels,14,4,3,7,11,:,18,-7,15,,Season 61441
12,0,VFL Copenhagen,14,3,5,6,16,:,16,0,14,,Season 61441
13,0,VFL Edinburgh,14,3,2,9,10,:,29,-19,11,,Season 61441
14,-1,VFL Athens,14,3,0,11,7,:,24,-17,9,,Season 61441
15,0,VFL Vienna,14,1,5,8,7,:,22,-15,8,,Season 61441
