11/09/19 20:16,VFL Vienna  -  VFL London,0:2,0:3,8,Season 61441
11/09/19 20:21,VFL Amsterdam  -  VFL Vienna,0:0,2:1,9,Season 61441
11/09/19 20:21,VFL Ankara  -  VFL Stockholm,0:3,1:3,9,Season 61441
11/09/19 20:21,VFL Berlin  -  VFL Athens,2:0,2:0,9,Season 61441
11/09/19 20:21,VFL Copenhagen  -  VFL London,1:1,1:3,9,Season 61441
11/09/19 20:21,VFL Edinburgh  -  VFL Madrid,1:0,2:0,9,Season 61441
11/09/19 20:21,VFL Paris  -  VFL Bern,1:0,2:0,9,Season 61441
11/09/19 20:21,VFL Rome  -  VFL Lisbon,1:0,1:0,9,Season 61441
11/09/19 20:21,VFL Oslo  -  VFL Brussels,1:0,3:0,9,Season 61441
11/09/19 20:25,VFL London  -  VFL Paris,2:0,3:0,10,Season 61441
11/09/19 20:25,VFL Lisbon  -  VFL Amsterdam,1:0,2:1,10,Season 61441
11/09/19 20:25,VFL Vienna  -  VFL Copenhagen,1:1,1:1,10,Season 61441
11/09/19 20:25,VFL Brussels  -  VFL Rome,0:2,0:2,10,Season 61441
11/09/19 20:25,VFL Athens  -  VFL Ankara,0:1,0:1,10,Season 61441
11/09/19 20:25,VFL Madrid  -  VFL Berlin,1:0,2:0,10,Season 61441
11/09/19 20:25,VFL Bern  -  VFL Edinburgh,1:1,1:2,10,Season 61441
11/09/19 20:25,VFL Stockholm  -  VFL Oslo,1:0,1:2,10,Season 61441
11/09/19 20:30,VFL Paris  -  VFL Copenhagen,1:0,3:0,11,Season 61441
11/09/19 20:30,VFL Ankara  -  VFL Madrid,0:0,1:0,11,Season 61441
11/09/19 20:30,VFL Lisbon  -  VFL Vienna,0:1,0:1,11,Season 61441
11/09/19 20:30,VFL Berlin  -  VFL Bern,1:0,1:1,11,Season 61441
11/09/19 20:30,VFL Oslo  -  VFL Athens,2:1,2:1,11,Season 61441
11/09/19 20:30,VFL Edinburgh  -  VFL London,1:0,1:2,11,Season 61441
11/09/19 20:30,VFL Amsterdam  -  VFL Brussels,1:1,4:2,11,Season 61441
11/09/19 20:30,VFL Rome  -  VFL Stockholm,1:0,4:0,11,Season 61441
11/09/19 20:34,VFL Madrid  -  VFL Oslo,0:1,1:1,12,Season 61441
11/09/19 20:34,VFL Stockholm  -  VFL Amsterdam,0:0,0:0,12,Season 61441
11/09/19 20:34,VFL Brussels  -  VFL Lisbon,0:0,0:0,12,Season 61441
11/09/19 20:34,VFL Vienna  -  VFL Paris,0:1,0:2,12,Season 61441
11/09/19 20:34,VFL Athens  -  VFL Rome,0:1,0:2,12,Season 61441
11/09/19 20:34,VFL Copenhagen  -  VFL Edinburgh,1:0,4:0,12,Season 61441
11/09/19 20:34,VFL London  -  VFL Berlin,0:0,0:0,12,Season 61441
11/09/19 20:34,VFL Bern  -  VFL Ankara,1:2,1:2,12,Season 61441
11/09/19 20:39,VFL Amsterdam  -  VFL Athens,3:0,4:1,13,Season 61441
11/09/19 20:39,VFL Oslo  -  VFL Bern,2:0,4:0,13,Season 61441
11/09/19 20:39,VFL Lisbon  -  VFL Stockholm,2:0,2:0,13,Season 61441
11/09/19 20:39,VFL Berlin  -  VFL Copenhagen,1:0,1:0,13,Season 61441
11/09/19 20:39,VFL Edinburgh  -  VFL Paris,1:1,2:2,13,Season 61441
11/09/19 20:39,VFL Ankara  -  VFL London,0:0,0:2,13,Season 61441
11/09/19 20:39,VFL Rome  -  VFL Madrid,1:2,2:3,13,Season 61441
11/09/19 20:39,VFL Brussels  -  VFL Vienna,1:0,1:0,13,Season 61441
11/09/19 20:44,VFL Madrid  -  VFL Amsterdam,1:2,1:4,14,Season 61441
11/09/19 20:44,VFL Paris  -  VFL Berlin,0:1,0:1,14,Season 61441
11/09/19 20:44,VFL London  -  VFL Oslo,2:1,2:1,14,Season 61441
11/09/19 20:44,VFL Copenhagen  -  VFL Ankara,1:1,1:1,14,Season 61441
11/09/19 20:44,VFL Vienna  -  VFL Edinburgh,0:1,1:1,14,Season 61441
11/09/19 20:44,VFL Stockholm  -  VFL Brussels,0:0,1:0,14,Season 61441
11/09/19 20:44,VFL Bern  -  VFL Rome,0:1,0:2,14,Season 61441
11/09/19 20:44,VFL Athens  -  VFL Lisbon,1:0,2:1,14,Season 61441
