Pos,Dir,Team,P,W,D,L,GF,GA,DIFF,Points,Season
1,0,VFL Oslo,1,1,0,0,4,1,3,3,Season 61528
2,0,VFL Edinburgh,1,1,0,0,3,0,3,3,Season 61528
3,0,VFL Brussels,1,1,0,0,2,0,2,3,Season 61528
4,0,VFL Berlin,1,1,0,0,3,2,1,3,Season 61528
5,0,VFL Ankara,1,1,0,0,1,0,1,3,Season 61528
6,0,VFL Madrid,1,0,1,0,1,1,0,1,Season 61528
6,0,VFL Vienna,1,0,1,0,1,1,0,1,Season 61528
8,0,VFL Amsterdam,1,0,1,0,0,0,0,1,Season 61528
8,0,VFL Athens,1,0,1,0,0,0,0,1,Season 61528
8,0,VFL Lisbon,1,0,1,0,0,0,0,1,Season 61528
8,0,VFL London,1,0,1,0,0,0,0,1,Season 61528
12,0,VFL Rome,1,0,0,1,2,3,-1,0,Season 61528
13,0,VFL Paris,1,0,0,1,0,1,-1,0,Season 61528
14,0,VFL Copenhagen,1,0,0,1,0,2,-2,0,Season 61528
15,0,VFL Bern,1,0,0,1,1,4,-3,0,Season 61528
16,0,VFL Stockholm,1,0,0,1,0,3,-3,0,Season 61528
1,-1,VFL Edinburgh,2,2,0,0,5,0,5,6,Season 61528
2,-1,VFL Ankara,2,2,0,0,3,1,2,6,Season 61528
3,-1,VFL Madrid,2,1,1,0,4,2,2,4,Season 61528
4,0,VFL Berlin,2,1,1,0,3,2,1,4,Season 61528
5,-1,VFL Amsterdam,2,1,1,0,2,1,1,4,Season 61528
6,-1,VFL Rome,2,1,0,1,6,5,1,3,Season 61528
7,1,VFL Oslo,2,1,0,1,5,4,1,3,Season 61528
8,1,VFL Brussels,2,1,0,1,2,1,1,3,Season 61528
9,-1,VFL Stockholm,2,1,0,1,1,3,-2,3,Season 61528
10,1,VFL Vienna,2,0,2,0,1,1,0,2,Season 61528
11,1,VFL London,2,0,1,1,1,2,-1,1,Season 61528
12,-1,VFL Paris,2,0,1,1,0,1,-1,1,Season 61528
13,1,VFL Lisbon,2,0,1,1,2,4,-2,1,Season 61528
14,1,VFL Athens,2,0,1,1,0,2,-2,1,Season 61528
14,0,VFL Copenhagen,2,0,1,1,0,2,-2,1,Season 61528
16,1,VFL Bern,2,0,0,2,2,6,-4,0,Season 61528
1,-1,VFL Berlin,3,2,1,0,7,4,3,7,Season 61528
2,1,VFL Edinburgh,3,2,0,1,5,1,4,6,Season 61528
3,-1,VFL Rome,3,2,0,1,8,5,3,6,Season 61528
4,-1,VFL Oslo,3,2,0,1,7,4,3,6,Season 61528
5,-1,VFL Brussels,3,2,0,1,3,1,2,6,Season 61528
6,1,VFL Ankara,3,2,0,1,3,3,0,6,Season 61528
7,1,VFL Madrid,3,1,2,0,4,2,2,5,Season 61528
8,-1,VFL London,3,1,1,1,2,2,0,4,Season 61528
9,1,VFL Amsterdam,3,1,1,1,2,3,-1,4,Season 61528
10,-1,VFL Bern,3,1,0,2,3,6,-3,3,Season 61528
11,1,VFL Stockholm,3,1,0,2,3,7,-4,3,Season 61528
12,1,VFL Vienna,3,0,2,1,1,2,-1,2,Season 61528
13,1,VFL Paris,3,0,2,1,0,1,-1,2,Season 61528
14,1,VFL Lisbon,3,0,2,1,2,4,-2,2,Season 61528
15,1,VFL Copenhagen,3,0,2,1,0,2,-2,2,Season 61528
16,1,VFL Athens,3,0,1,2,0,3,-3,1,Season 61528
1,0,VFL Berlin,4,3,1,0,10,4,6,10,Season 61528
2,-1,VFL Oslo,4,3,0,1,11,5,6,9,Season 61528
3,0,VFL Rome,4,2,1,1,11,8,3,7,Season 61528
4,-1,VFL London,4,2,1,1,6,3,3,7,Season 61528
5,-1,VFL Amsterdam,4,2,1,1,5,4,1,7,Season 61528
6,1,VFL Edinburgh,4,2,0,2,6,5,1,6,Season 61528
7,1,VFL Brussels,4,2,0,2,3,2,1,6,Season 61528
8,1,VFL Ankara,4,2,0,2,3,4,-1,6,Season 61528
9,-1,VFL Bern,4,2,0,2,4,6,-2,6,Season 61528
10,-1,VFL Lisbon,4,1,2,1,6,5,1,5,Season 61528
11,1,VFL Madrid,4,1,2,1,5,5,0,5,Season 61528
12,-1,VFL Copenhagen,4,1,2,1,1,2,-1,5,Season 61528
13,1,VFL Vienna,4,0,3,1,4,5,-1,3,Season 61528
14,1,VFL Stockholm,4,1,0,3,4,11,-7,3,Season 61528
15,1,VFL Paris,4,0,2,2,1,5,-4,2,Season 61528
16,0,VFL Athens,4,0,1,3,0,6,-6,1,Season 61528
1,0,VFL Berlin,5,4,1,0,12,4,8,13,Season 61528
2,0,VFL Oslo,5,3,1,1,12,6,6,10,Season 61528
3,-1,VFL London,5,3,1,1,8,3,5,10,Season 61528
4,-1,VFL Lisbon,5,2,2,1,8,5,3,8,Season 61528
5,0,VFL Amsterdam,5,2,2,1,5,4,1,8,Season 61528
6,1,VFL Rome,5,2,1,2,11,9,2,7,Season 61528
7,1,VFL Edinburgh,5,2,1,2,6,5,1,7,Season 61528
8,1,VFL Brussels,5,2,1,2,4,3,1,7,Season 61528
9,-1,VFL Vienna,5,1,3,1,6,5,1,6,Season 61528
10,1,VFL Ankara,5,2,0,3,4,6,-2,6,Season 61528
11,1,VFL Bern,5,2,0,3,4,8,-4,6,Season 61528
12,-1,VFL Stockholm,5,2,0,3,6,12,-6,6,Season 61528
13,1,VFL Madrid,5,1,2,2,5,7,-2,5,Season 61528
14,-1,VFL Paris,5,1,2,2,2,5,-3,5,Season 61528
15,1,VFL Copenhagen,5,1,2,2,1,4,-3,5,Season 61528
16,0,VFL Athens,5,0,1,4,0,8,-8,1,Season 61528
1,0,VFL Berlin,6,5,1,0,14,4,10,16,Season 61528
2,-1,VFL Lisbon,6,3,2,1,10,6,4,11,Season 61528
3,-1,VFL Rome,6,3,1,2,16,10,6,10,Season 61528
4,1,VFL Oslo,6,3,1,2,12,8,4,10,Season 61528
5,1,VFL London,6,3,1,2,9,8,1,10,Season 61528
6,1,VFL Amsterdam,6,2,3,1,5,4,1,9,Season 61528
7,-1,VFL Ankara,6,3,0,3,6,6,0,9,Season 61528
8,-1,VFL Stockholm,6,3,0,3,7,12,-5,9,Season 61528
9,-1,VFL Madrid,6,2,2,2,10,8,2,8,Season 61528
10,1,VFL Brussels,6,2,2,2,4,3,1,8,Season 61528
11,-1,VFL Paris,6,2,2,2,3,5,-2,8,Season 61528
12,1,VFL Edinburgh,6,2,1,3,7,10,-3,7,Season 61528
13,1,VFL Vienna,6,1,3,2,6,6,0,6,Season 61528
14,1,VFL Bern,6,2,0,4,5,10,-5,6,Season 61528
15,0,VFL Copenhagen,6,1,2,3,1,5,-4,5,Season 61528
16,0,VFL Athens,6,0,1,5,0,10,-10,1,Season 61528
1,0,VFL Berlin,7,5,1,1,15,6,9,16,Season 61528
2,-1,VFL Rome,7,4,1,2,17,10,7,13,Season 61528
3,-1,VFL London,7,4,1,2,10,8,2,13,Season 61528
4,1,VFL Lisbon,7,3,3,1,10,6,4,12,Season 61528
5,-1,VFL Amsterdam,7,3,3,1,7,5,2,12,Season 61528
6,1,VFL Oslo,7,3,2,2,12,8,4,11,Season 61528
7,-1,VFL Brussels,7,3,2,2,6,3,3,11,Season 61528
8,0,VFL Stockholm,7,3,1,3,8,13,-5,10,Season 61528
9,-1,VFL Vienna,7,2,3,2,7,6,1,9,Season 61528
10,1,VFL Ankara,7,3,0,4,8,9,-1,9,Season 61528
11,0,VFL Paris,7,2,3,2,4,6,-2,9,Season 61528
12,-1,VFL Bern,7,3,0,4,8,12,-4,9,Season 61528
13,1,VFL Madrid,7,2,2,3,10,9,1,8,Season 61528
14,1,VFL Edinburgh,7,2,1,4,7,12,-5,7,Season 61528
15,0,VFL Copenhagen,7,1,2,4,1,6,-5,5,Season 61528
16,0,VFL Athens,7,0,1,6,0,11,-11,1,Season 61528
1,0,VFL Berlin,8,5,1,2,16,8,8,16,Season 61528
2,-1,VFL Amsterdam,8,4,3,1,9,5,4,15,Season 61528
3,-1,VFL Oslo,8,4,2,2,14,9,5,14,Season 61528
4,1,VFL Rome,8,4,1,3,19,13,6,13,Season 61528
5,1,VFL London,8,4,1,3,12,11,1,13,Season 61528
6,-1,VFL Stockholm,8,4,1,3,11,15,-4,13,Season 61528
7,1,VFL Lisbon,8,3,3,2,10,8,2,12,Season 61528
8,-1,VFL Madrid,8,3,2,3,13,9,4,11,Season 61528
9,1,VFL Brussels,8,3,2,3,6,6,0,11,Season 61528
10,1,VFL Vienna,8,2,4,2,9,8,1,10,Season 61528
11,-1,VFL Bern,8,3,1,4,10,14,-4,10,Season 61528
12,-1,VFL Edinburgh,8,3,1,4,9,13,-4,10,Season 61528
13,1,VFL Ankara,8,3,0,5,9,11,-2,9,Season 61528
14,1,VFL Paris,8,2,3,3,5,8,-3,9,Season 61528
15,0,VFL Copenhagen,8,2,2,4,4,8,-4,8,Season 61528
16,0,VFL Athens,8,1,1,6,2,12,-10,4,Season 61528
1,0,VFL Berlin,9,6,1,2,18,8,10,19,Season 61528
2,0,VFL Amsterdam,9,5,3,1,11,6,5,18,Season 61528
3,0,VFL Oslo,9,5,2,2,18,10,8,17,Season 61528
4,0,VFL Rome,9,5,1,3,22,14,8,16,Season 61528
5,0,VFL London,9,5,1,3,16,12,4,16,Season 61528
6,-1,VFL Lisbon,9,4,3,2,12,8,4,15,Season 61528
7,-1,VFL Madrid,9,4,2,3,15,9,6,14,Season 61528
8,1,VFL Stockholm,9,4,1,4,12,18,-6,13,Season 61528
9,-1,VFL Paris,9,3,3,3,6,8,-2,12,Season 61528
10,1,VFL Brussels,9,3,2,4,6,8,-2,11,Season 61528
11,1,VFL Vienna,9,2,4,3,10,12,-2,10,Season 61528
12,1,VFL Bern,9,3,1,5,10,15,-5,10,Season 61528
13,1,VFL Edinburgh,9,3,1,5,9,15,-6,10,Season 61528
14,1,VFL Ankara,9,3,0,6,10,13,-3,9,Season 61528
15,0,VFL Copenhagen,9,2,2,5,4,10,-6,8,Season 61528
16,0,VFL Athens,9,1,1,7,3,16,-13,4,Season 61528
1,-1,VFL Amsterdam,10,6,3,1,13,7,6,21,Season 61528
2,-1,VFL Oslo,10,6,2,2,20,10,10,20,Season 61528
3,1,VFL Berlin,10,6,2,2,18,8,10,20,Season 61528
4,0,VFL Rome,10,6,1,3,25,15,10,19,Season 61528
5,0,VFL London,10,6,1,3,19,12,7,19,Season 61528
6,0,VFL Lisbon,10,4,4,2,12,8,4,16,Season 61528
7,0,VFL Madrid,10,4,3,3,15,9,6,15,Season 61528
8,0,VFL Stockholm,10,4,2,4,12,18,-6,14,Season 61528
9,-1,VFL Ankara,10,4,0,6,12,14,-2,12,Season 61528
10,0,VFL Brussels,10,3,3,4,6,8,-2,12,Season 61528
11,1,VFL Paris,10,3,3,4,6,10,-4,12,Season 61528
12,1,VFL Vienna,10,2,4,4,11,14,-3,10,Season 61528
13,0,VFL Edinburgh,10,3,1,6,10,17,-7,10,Season 61528
14,1,VFL Bern,10,3,1,6,10,18,-8,10,Season 61528
15,0,VFL Copenhagen,10,2,3,5,4,10,-6,9,Season 61528
16,0,VFL Athens,10,1,1,8,4,19,-15,4,Season 61528
1,0,VFL Amsterdam,11,7,3,1,15,7,8,24,Season 61528
2,-1,VFL Berlin,11,7,2,2,20,8,12,23,Season 61528
3,-1,VFL Rome,11,7,1,3,26,15,11,22,Season 61528
4,1,VFL Oslo,11,6,3,2,20,10,10,21,Season 61528
5,0,VFL London,11,6,2,3,19,12,7,20,Season 61528
6,-1,VFL Madrid,11,4,4,3,18,12,6,16,Season 61528
7,1,VFL Lisbon,11,4,4,3,12,10,2,16,Season 61528
8,-1,VFL Brussels,11,4,3,4,8,9,-1,15,Season 61528
9,1,VFL Stockholm,11,4,3,4,15,21,-6,15,Season 61528
10,-1,VFL Edinburgh,11,4,1,6,11,17,-6,13,Season 61528
11,1,VFL Ankara,11,4,0,7,13,16,-3,12,Season 61528
12,-1,VFL Copenhagen,11,3,3,5,7,11,-4,12,Season 61528
13,1,VFL Paris,11,3,3,5,6,12,-6,12,Season 61528
14,1,VFL Vienna,11,2,4,5,11,15,-4,10,Season 61528
15,1,VFL Bern,11,3,1,7,10,19,-9,10,Season 61528
16,0,VFL Athens,11,1,1,9,5,22,-17,4,Season 61528
1,-1,VFL Berlin,12,7,3,2,21,9,12,24,Season 61528
2,1,VFL Amsterdam,12,7,3,2,17,10,7,24,Season 61528
3,0,VFL Rome,12,7,2,3,28,17,11,23,Season 61528
4,-1,VFL London,12,7,2,3,22,14,8,23,Season 61528
5,1,VFL Oslo,12,6,4,2,22,12,10,22,Season 61528
6,0,VFL Madrid,12,5,4,3,21,12,9,19,Season 61528
7,0,VFL Lisbon,12,4,4,4,12,13,-1,16,Season 61528
8,0,VFL Brussels,12,4,3,5,8,12,-4,15,Season 61528
9,0,VFL Stockholm,12,4,3,5,16,24,-8,15,Season 61528
10,0,VFL Edinburgh,12,4,2,6,12,18,-6,14,Season 61528
11,-1,VFL Vienna,12,3,4,5,14,15,-1,13,Season 61528
12,1,VFL Ankara,12,4,1,7,14,17,-3,13,Season 61528
13,1,VFL Copenhagen,12,3,4,5,8,12,-4,13,Season 61528
14,1,VFL Paris,12,3,4,5,7,13,-6,13,Season 61528
15,0,VFL Bern,12,3,2,7,11,20,-9,11,Season 61528
16,0,VFL Athens,12,2,1,9,8,23,-15,7,Season 61528
1,0,VFL Berlin,13,8,3,2,23,9,14,27,Season 61528
2,-1,VFL Rome,13,8,2,3,31,18,13,26,Season 61528
3,-1,VFL London,13,8,2,3,24,15,9,26,Season 61528
4,1,VFL Amsterdam,13,7,3,3,18,13,5,24,Season 61528
5,0,VFL Oslo,13,6,4,3,24,15,9,22,Season 61528
6,0,VFL Madrid,13,5,5,3,22,13,9,20,Season 61528
7,0,VFL Lisbon,13,5,4,4,14,14,0,19,Season 61528
8,-1,VFL Copenhagen,13,4,4,5,11,14,-3,16,Season 61528
9,-1,VFL Paris,13,4,4,5,9,14,-5,16,Season 61528
10,1,VFL Brussels,13,4,3,6,9,14,-5,15,Season 61528
11,1,VFL Stockholm,13,4,3,6,17,26,-9,15,Season 61528
12,1,VFL Edinburgh,13,4,2,7,13,20,-7,14,Season 61528
13,-1,VFL Bern,13,4,2,7,13,21,-8,14,Season 61528
14,1,VFL Vienna,13,3,4,6,14,17,-3,13,Season 61528
15,1,VFL Ankara,13,4,1,8,15,19,-4,13,Season 61528
16,0,VFL Athens,13,2,2,9,9,24,-15,8,Season 61528
1,-1,VFL Rome,14,9,2,3,35,19,16,29,Season 61528
2,-1,VFL London,14,9,2,3,27,16,11,29,Season 61528
3,1,VFL Berlin,14,8,4,2,25,11,14,28,Season 61528
4,0,VFL Amsterdam,14,7,4,3,19,14,5,25,Season 61528
5,-1,VFL Madrid,14,6,5,3,25,15,10,23,Season 61528
6,1,VFL Oslo,14,6,5,3,24,15,9,23,Season 61528
7,0,VFL Lisbon,14,5,4,5,14,15,-1,19,Season 61528
8,0,VFL Copenhagen,14,4,5,5,12,15,-3,17,Season 61528
9,0,VFL Paris,14,4,5,5,11,16,-5,17,Season 61528
10,-1,VFL Vienna,14,4,4,6,15,17,-2,16,Season 61528
11,0,VFL Stockholm,14,4,4,6,17,26,-9,16,Season 61528
12,1,VFL Brussels,14,4,3,7,10,17,-7,15,Season 61528
13,0,VFL Bern,14,4,2,8,13,22,-9,14,Season 61528
14,1,VFL Edinburgh,14,4,2,8,14,24,-10,14,Season 61528
15,0,VFL Ankara,14,4,1,9,17,22,-5,13,Season 61528
16,0,VFL Athens,14,3,2,9,10,24,-14,11,Season 61528
1,0,VFL Rome,15,10,2,3,36,19,17,32,Season 61528
2,0,VFL London,15,9,3,3,28,17,11,30,Season 61528
3,0,VFL Berlin,15,8,5,2,26,12,14,29,Season 61528
4,0,VFL Amsterdam,15,8,4,3,20,14,6,28,Season 61528
5,-1,VFL Oslo,15,7,5,3,25,15,10,26,Season 61528
6,1,VFL Madrid,15,6,5,4,26,18,8,23,Season 61528
7,0,VFL Lisbon,15,6,4,5,17,15,2,22,Season 61528
8,0,VFL Copenhagen,15,4,6,5,13,16,-3,18,Season 61528
9,-1,VFL Bern,15,5,2,8,16,23,-7,17,Season 61528
10,1,VFL Paris,15,4,5,6,11,19,-8,17,Season 61528
11,1,VFL Vienna,15,4,4,7,15,18,-3,16,Season 61528
12,-1,VFL Ankara,15,5,1,9,18,22,-4,16,Season 61528
13,1,VFL Stockholm,15,4,4,7,17,27,-10,16,Season 61528
14,1,VFL Brussels,15,4,3,8,10,18,-8,15,Season 61528
15,1,VFL Edinburgh,15,4,3,8,15,25,-10,15,Season 61528
16,0,VFL Athens,15,3,2,10,10,25,-15,11,Season 61528
1,0,VFL Rome,16,11,2,3,37,19,18,35,Season 61528
2,0,VFL London,16,10,3,3,33,18,15,33,Season 61528
3,0,VFL Berlin,16,8,5,3,26,13,13,29,Season 61528
4,0,VFL Amsterdam,16,8,5,3,21,15,6,29,Season 61528
5,-1,VFL Madrid,16,7,5,4,27,18,9,26,Season 61528
6,1,VFL Oslo,16,7,5,4,25,17,8,26,Season 61528
7,0,VFL Lisbon,16,6,4,6,18,20,-2,22,Season 61528
8,0,VFL Copenhagen,16,5,6,5,15,17,-2,21,Season 61528
9,0,VFL Bern,16,6,2,8,18,23,-5,20,Season 61528
10,-1,VFL Ankara,16,6,1,9,19,22,-3,19,Season 61528
11,-1,VFL Stockholm,16,5,4,7,22,28,-6,19,Season 61528
12,1,VFL Paris,16,4,5,7,11,20,-9,17,Season 61528
13,1,VFL Vienna,16,4,4,8,15,19,-4,16,Season 61528
14,0,VFL Brussels,16,4,3,9,11,20,-9,15,Season 61528
15,0,VFL Edinburgh,16,4,3,9,16,30,-14,15,Season 61528
16,0,VFL Athens,16,3,3,10,11,26,-15,12,Season 61528
1,-1,VFL London,17,11,3,3,37,18,19,36,Season 61528
2,1,VFL Rome,17,11,2,4,40,23,17,35,Season 61528
3,0,VFL Berlin,17,9,5,3,28,14,14,32,Season 61528
4,0,VFL Amsterdam,17,9,5,3,24,15,9,32,Season 61528
5,-1,VFL Oslo,17,8,5,4,27,18,9,29,Season 61528
6,1,VFL Madrid,17,7,5,5,28,20,8,26,Season 61528
7,0,VFL Lisbon,17,7,4,6,22,23,-1,25,Season 61528
8,0,VFL Copenhagen,17,5,6,6,16,19,-3,21,Season 61528
9,0,VFL Bern,17,6,2,9,18,26,-8,20,Season 61528
10,0,VFL Ankara,17,6,1,10,19,26,-7,19,Season 61528
11,0,VFL Stockholm,17,5,4,8,22,30,-8,19,Season 61528
12,-1,VFL Brussels,17,5,3,9,13,20,-7,18,Season 61528
13,1,VFL Paris,17,4,6,7,11,20,-9,18,Season 61528
14,1,VFL Vienna,17,4,5,8,15,19,-4,17,Season 61528
15,-1,VFL Athens,17,4,3,10,13,27,-14,15,Season 61528
16,1,VFL Edinburgh,17,4,3,10,17,32,-15,15,Season 61528
1,0,VFL London,18,12,3,3,39,19,20,39,Season 61528
2,0,VFL Rome,18,11,3,4,41,24,17,36,Season 61528
3,-1,VFL Amsterdam,18,10,5,3,26,16,10,35,Season 61528
4,1,VFL Berlin,18,9,6,3,30,16,14,33,Season 61528
5,-1,VFL Madrid,18,8,5,5,31,20,11,29,Season 61528
6,1,VFL Oslo,18,8,5,5,28,20,8,29,Season 61528
7,0,VFL Lisbon,18,8,4,6,24,23,1,28,Season 61528
8,0,VFL Copenhagen,18,5,6,7,16,21,-5,21,Season 61528
9,0,VFL Bern,18,6,3,9,18,26,-8,21,Season 61528
10,0,VFL Ankara,18,6,2,10,20,27,-7,20,Season 61528
11,0,VFL Stockholm,18,5,5,8,24,32,-8,20,Season 61528
12,0,VFL Brussels,18,5,3,10,14,22,-8,18,Season 61528
13,0,VFL Paris,18,4,6,8,11,23,-12,18,Season 61528
14,-1,VFL Athens,18,5,3,10,15,28,-13,18,Season 61528
15,1,VFL Vienna,18,4,5,9,16,21,-5,17,Season 61528
16,0,VFL Edinburgh,18,4,4,10,17,32,-15,16,Season 61528
1,0,VFL London,19,13,3,3,40,19,21,42,Season 61528
2,0,VFL Rome,19,12,3,4,43,24,19,39,Season 61528
3,-1,VFL Berlin,19,10,6,3,32,17,15,36,Season 61528
4,1,VFL Amsterdam,19,10,5,4,27,20,7,35,Season 61528
5,0,VFL Madrid,19,9,5,5,35,21,14,32,Season 61528
6,0,VFL Oslo,19,9,5,5,30,21,9,32,Season 61528
7,0,VFL Lisbon,19,8,4,7,24,24,0,28,Season 61528
8,-1,VFL Stockholm,19,6,5,8,25,32,-7,23,Season 61528
9,1,VFL Copenhagen,19,5,7,7,17,22,-5,22,Season 61528
10,1,VFL Bern,19,6,4,9,19,27,-8,22,Season 61528
11,1,VFL Ankara,19,6,3,10,21,28,-7,21,Season 61528
12,0,VFL Brussels,19,5,4,10,15,23,-8,19,Season 61528
13,0,VFL Paris,19,4,6,9,11,24,-13,18,Season 61528
14,0,VFL Athens,19,5,3,11,16,30,-14,18,Season 61528
15,0,VFL Vienna,19,4,5,10,16,23,-7,17,Season 61528
16,0,VFL Edinburgh,19,4,4,11,18,34,-16,16,Season 61528
1,-1,VFL Rome,20,13,3,4,46,26,20,42,Season 61528
2,1,VFL London,20,13,3,4,42,22,20,42,Season 61528
3,-1,VFL Amsterdam,20,11,5,4,30,20,10,38,Season 61528
4,1,VFL Berlin,20,10,6,4,33,20,13,36,Season 61528
5,0,VFL Madrid,20,10,5,5,38,23,15,35,Season 61528
6,0,VFL Oslo,20,9,5,6,30,22,8,32,Season 61528
7,0,VFL Lisbon,20,9,4,7,27,24,3,31,Season 61528
8,0,VFL Stockholm,20,7,5,8,26,32,-6,26,Season 61528
9,0,VFL Copenhagen,20,6,7,7,18,22,-4,25,Season 61528
10,0,VFL Bern,20,7,4,9,22,28,-6,25,Season 61528
11,-1,VFL Brussels,20,6,4,10,16,23,-7,22,Season 61528
12,1,VFL Ankara,20,6,3,11,21,29,-8,21,Season 61528
13,0,VFL Paris,20,4,6,10,13,27,-14,18,Season 61528
14,0,VFL Athens,20,5,3,12,16,33,-17,18,Season 61528
15,0,VFL Vienna,20,4,5,11,16,24,-8,17,Season 61528
16,0,VFL Edinburgh,20,4,4,12,18,37,-19,16,Season 61528
1,0,VFL Lisbon,1,1,0,0,3,0,3,3,Season 61527
2,0,VFL Oslo,1,1,0,0,2,0,2,3,Season 61527
3,0,VFL Berlin,1,1,0,0,2,1,1,3,Season 61527
3,0,VFL Madrid,1,1,0,0,2,1,1,3,Season 61527
3,0,VFL Vienna,1,1,0,0,2,1,1,3,Season 61527
6,0,VFL Edinburgh,1,1,0,0,1,0,1,3,Season 61527
7,0,VFL Amsterdam,1,0,1,0,1,1,0,1,Season 61527
7,0,VFL Ankara,1,0,1,0,1,1,0,1,Season 61527
7,0,VFL Athens,1,0,1,0,1,1,0,1,Season 61527
7,0,VFL Brussels,1,0,1,0,1,1,0,1,Season 61527
11,0,VFL London,1,0,0,1,1,2,-1,0,Season 61527
11,0,VFL Paris,1,0,0,1,1,2,-1,0,Season 61527
11,0,VFL Rome,1,0,0,1,1,2,-1,0,Season 61527
14,0,VFL Stockholm,1,0,0,1,0,1,-1,0,Season 61527
15,0,VFL Copenhagen,1,0,0,1,0,2,-2,0,Season 61527
16,0,VFL Bern,1,0,0,1,0,3,-3,0,Season 61527
1,-1,VFL Oslo,2,2,0,0,6,1,5,6,Season 61527
2,1,VFL Lisbon,2,1,1,0,4,1,3,4,Season 61527
3,0,VFL Berlin,2,1,1,0,3,2,1,4,Season 61527
3,0,VFL Vienna,2,1,1,0,3,2,1,4,Season 61527
5,-1,VFL Edinburgh,2,1,1,0,2,1,1,4,Season 61527
6,1,VFL Madrid,2,1,0,1,3,3,0,3,Season 61527
6,-1,VFL Paris,2,1,0,1,3,3,0,3,Season 61527
8,-1,VFL London,2,1,0,1,2,2,0,3,Season 61527
8,-1,VFL Rome,2,1,0,1,2,2,0,3,Season 61527
8,-1,VFL Stockholm,2,1,0,1,2,2,0,3,Season 61527
11,1,VFL Athens,2,0,2,0,1,1,0,2,Season 61527
12,1,VFL Brussels,2,0,1,1,2,3,-1,1,Season 61527
13,1,VFL Amsterdam,2,0,1,1,1,2,-1,1,Season 61527
14,-1,VFL Copenhagen,2,0,1,1,0,2,-2,1,Season 61527
15,1,VFL Ankara,2,0,1,1,2,5,-3,1,Season 61527
16,0,VFL Bern,2,0,0,2,0,4,-4,0,Season 61527
1,0,VFL Oslo,3,2,0,1,6,2,4,6,Season 61527
2,-1,VFL Stockholm,3,2,0,1,4,2,2,6,Season 61527
3,-1,VFL Madrid,3,2,0,1,5,4,1,6,Season 61527
4,-1,VFL Paris,3,2,0,1,4,3,1,6,Season 61527
5,-1,VFL London,3,2,0,1,3,2,1,6,Season 61527
6,1,VFL Lisbon,3,1,2,0,5,2,3,5,Season 61527
7,-1,VFL Athens,3,1,2,0,4,1,3,5,Season 61527
8,1,VFL Vienna,3,1,1,1,4,4,0,4,Season 61527
9,-1,VFL Amsterdam,3,1,1,1,3,3,0,4,Season 61527
9,1,VFL Berlin,3,1,1,1,3,3,0,4,Season 61527
9,1,VFL Edinburgh,3,1,1,1,3,3,0,4,Season 61527
9,1,VFL Rome,3,1,1,1,3,3,0,4,Season 61527
9,-1,VFL Brussels,3,1,1,1,3,3,0,4,Season 61527
14,0,VFL Copenhagen,3,0,1,2,0,3,-3,1,Season 61527
15,0,VFL Ankara,3,0,1,2,2,8,-6,1,Season 61527
16,0,VFL Bern,3,0,0,3,0,6,-6,0,Season 61527
1,0,VFL Oslo,4,3,0,1,8,2,6,9,Season 61527
2,-1,VFL Paris,4,3,0,1,7,3,4,9,Season 61527
3,-1,VFL Lisbon,4,2,2,0,7,3,4,8,Season 61527
4,-1,VFL Athens,4,2,2,0,5,1,4,8,Season 61527
5,-1,VFL Vienna,4,2,1,1,7,6,1,7,Season 61527
6,-1,VFL Rome,4,2,1,1,6,5,1,7,Season 61527
7,-1,VFL Amsterdam,4,2,1,1,5,4,1,7,Season 61527
8,1,VFL Stockholm,4,2,0,2,6,5,1,6,Season 61527
9,1,VFL Madrid,4,2,0,2,6,6,0,6,Season 61527
10,1,VFL London,4,2,0,2,3,3,0,6,Season 61527
11,1,VFL Berlin,4,1,2,1,3,3,0,5,Season 61527
12,1,VFL Brussels,4,1,1,2,4,5,-1,4,Season 61527
13,1,VFL Edinburgh,4,1,1,2,3,5,-2,4,Season 61527
14,0,VFL Copenhagen,4,0,2,2,0,3,-3,2,Season 61527
15,0,VFL Ankara,4,0,1,3,2,11,-9,1,Season 61527
16,0,VFL Bern,4,0,0,4,2,9,-7,0,Season 61527
1,-1,VFL Vienna,5,3,1,1,10,6,4,10,Season 61527
2,-1,VFL Amsterdam,5,3,1,1,6,4,2,10,Season 61527
3,-1,VFL London,5,3,0,2,9,3,6,9,Season 61527
4,1,VFL Oslo,5,3,0,2,9,4,5,9,Season 61527
5,1,VFL Athens,5,2,3,0,6,2,4,9,Season 61527
6,-1,VFL Stockholm,5,3,0,2,7,5,2,9,Season 61527
7,-1,VFL Madrid,5,3,0,2,8,7,1,9,Season 61527
8,1,VFL Paris,5,3,0,2,7,9,-2,9,Season 61527
9,1,VFL Lisbon,5,2,2,1,7,4,3,8,Season 61527
10,-1,VFL Berlin,5,2,2,1,6,3,3,8,Season 61527
11,1,VFL Rome,5,2,1,2,6,8,-2,7,Season 61527
12,-1,VFL Copenhagen,5,1,2,2,3,3,0,5,Season 61527
13,0,VFL Edinburgh,5,1,2,2,4,6,-2,5,Season 61527
14,1,VFL Brussels,5,1,1,3,4,8,-4,4,Season 61527
15,0,VFL Ankara,5,0,1,4,2,14,-12,1,Season 61527
16,0,VFL Bern,5,0,0,5,2,10,-8,0,Season 61527
1,-1,VFL London,6,4,0,2,10,3,7,12,Season 61527
