1,0,VFL Amsterdam,1,1,0,0,4,:,0,4,3,,Season 62039
2,0,VFL Lisbon,1,1,0,0,3,:,0,3,3,,Season 62039
3,0,VFL Berlin,1,1,0,0,3,:,2,1,3,,Season 62039
4,0,VFL Copenhagen,1,1,0,0,2,:,1,1,3,,Season 62039
4,0,VFL Stockholm,1,1,0,0,2,:,1,1,3,,Season 62039
6,0,VFL Ankara,1,1,0,0,1,:,0,1,3,,Season 62039
7,0,VFL London,1,0,1,0,1,:,1,0,1,,Season 62039
7,0,VFL Brussels,1,0,1,0,1,:,1,0,1,,Season 62039
9,0,VFL Edinburgh,1,0,1,0,0,:,0,0,1,,Season 62039
9,0,VFL Vienna,1,0,1,0,0,:,0,0,1,,Season 62039
11,0,VFL Rome,1,0,0,1,2,:,3,-1,0,,Season 62039
12,0,VFL Bern,1,0,0,1,1,:,2,-1,0,,Season 62039
12,0,VFL Paris,1,0,0,1,1,:,2,-1,0,,Season 62039
14,0,VFL Oslo,1,0,0,1,0,:,1,-1,0,,Season 62039
15,0,VFL Madrid,1,0,0,1,0,:,3,-3,0,,Season 62039
16,0,VFL Athens,1,0,0,1,0,:,4,-4,0,,Season 62039
1,-1,VFL Lisbon,2,2,0,0,5,:,1,4,6,,Season 62039
2,-1,VFL Stockholm,2,2,0,0,3,:,1,2,6,,Season 62039
3,0,VFL Berlin,2,1,1,0,4,:,3,1,4,,Season 62039
4,0,VFL Copenhagen,2,1,1,0,3,:,2,1,4,,Season 62039
5,-1,VFL Edinburgh,2,1,1,0,2,:,1,1,4,,Season 62039
5,-1,VFL London,2,1,1,0,2,:,1,1,4,,Season 62039
7,1,VFL Amsterdam,2,1,0,1,6,:,4,2,3,,Season 62039
8,-1,VFL Rome,2,1,0,1,6,:,5,1,3,,Season 62039
9,-1,VFL Paris,2,1,0,1,3,:,2,1,3,,Season 62039
10,-1,VFL Oslo,2,1,0,1,2,:,1,1,3,,Season 62039
11,1,VFL Ankara,2,1,0,1,1,:,1,0,3,,Season 62039
12,1,VFL Vienna,2,0,1,1,1,:,2,-1,1,,Season 62039
13,1,VFL Brussels,2,0,1,1,1,:,3,-2,1,,Season 62039
14,1,VFL Bern,2,0,0,2,2,:,4,-2,0,,Season 62039
15,0,VFL Madrid,2,0,0,2,0,:,4,-4,0,,Season 62039
16,0,VFL Athens,2,0,0,2,0,:,6,-6,0,,Season 62039
1,-1,VFL London,3,2,1,0,5,:,1,4,7,,Season 62039
2,0,VFL Stockholm,3,2,1,0,5,:,3,2,7,,Season 62039
3,-1,VFL Edinburgh,3,2,1,0,3,:,1,2,7,,Season 62039
4,-1,VFL Amsterdam,3,2,0,1,8,:,4,4,6,,Season 62039
5,-1,VFL Paris,3,2,0,1,7,:,3,4,6,,Season 62039
6,1,VFL Lisbon,3,2,0,1,5,:,2,3,6,,Season 62039
7,1,VFL Berlin,3,1,1,1,5,:,5,0,4,,Season 62039
8,1,VFL Copenhagen,3,1,1,1,3,:,4,-1,4,,Season 62039
9,-1,VFL Bern,3,1,0,2,4,:,5,-1,3,,Season 62039
10,-1,VFL Ankara,3,1,0,2,3,:,4,-1,3,,Season 62039
10,-1,VFL Madrid,3,1,0,2,3,:,4,-1,3,,Season 62039
12,1,VFL Rome,3,1,0,2,7,:,9,-2,3,,Season 62039
