1,0,VFL Madrid,3,3,0,0,9,1,8,9,Season 61759
2,0,VFL Copenhagen,3,3,0,0,5,1,4,9,Season 61759
3,0,VFL Amsterdam,3,3,0,0,7,4,3,9,Season 61759
4,0,VFL Ankara,3,1,2,0,2,1,1,5,Season 61759
5,-1,VFL Stockholm,3,1,1,1,7,4,3,4,Season 61759
6,0,VFL London,3,1,1,1,6,3,3,4,Season 61759
7,-1,VFL Rome,3,1,1,1,5,5,0,4,Season 61759
8,1,VFL Brussels,3,1,1,1,3,3,0,4,Season 61759
9,-1,VFL Oslo,3,1,0,2,5,6,-1,3,Season 61759
10,1,VFL Edinburgh,3,1,0,2,3,8,-5,3,Season 61759
11,-1,VFL Bern,3,1,0,2,4,10,-6,3,Season 61759
12,1,VFL Berlin,3,0,2,1,3,4,-1,2,Season 61759
13,1,VFL Paris,3,0,2,1,2,3,-1,2,Season 61759
14,1,VFL Vienna,3,0,2,1,2,4,-2,2,Season 61759
15,1,VFL Athens,3,0,1,2,2,4,-2,1,Season 61759
16,1,VFL Lisbon,3,0,1,2,2,6,-4,1,Season 61759
1,-1,VFL Amsterdam,4,4,0,0,11,4,7,12,Season 61759
2,1,VFL Madrid,4,3,1,0,12,4,8,10,Season 61759
3,1,VFL Copenhagen,4,3,0,1,5,2,3,9,Season 61759
4,-1,VFL London,4,2,1,1,11,4,7,7,Season 61759
5,0,VFL Stockholm,4,2,1,1,8,4,4,7,Season 61759
6,1,VFL Ankara,4,1,3,0,5,4,1,6,Season 61759
7,-1,VFL Oslo,4,2,0,2,6,6,0,6,Season 61759
8,-1,VFL Berlin,4,1,2,1,7,4,3,5,Season 61759
9,1,VFL Brussels,4,1,2,1,4,4,0,5,Season 61759
10,1,VFL Rome,4,1,1,2,6,8,-2,4,Season 61759
11,-1,VFL Lisbon,4,1,1,2,5,7,-2,4,Season 61759
12,1,VFL Bern,4,1,0,3,4,11,-7,3,Season 61759
13,1,VFL Edinburgh,4,1,0,3,3,12,-9,3,Season 61759
14,-1,VFL Athens,4,0,2,2,3,5,-2,2,Season 61759
15,1,VFL Paris,4,0,2,2,2,7,-5,2,Season 61759
16,1,VFL Vienna,4,0,2,2,3,9,-6,2,Season 61759
1,0,VFL Amsterdam,5,5,0,0,14,4,10,15,Season 61759
2,0,VFL Madrid,5,4,1,0,15,5,10,13,Season 61759
3,-1,VFL Stockholm,5,3,1,1,10,5,5,10,Season 61759
4,-1,VFL Oslo,5,3,0,2,9,7,2,9,Season 61759
5,1,VFL Copenhagen,5,3,0,2,5,5,0,9,Season 61759
6,-1,VFL Berlin,5,2,2,1,11,5,6,8,Season 61759
7,1,VFL London,5,2,1,2,12,6,6,7,Season 61759
8,-1,VFL Lisbon,5,2,1,2,7,8,-1,7,Season 61759
9,1,VFL Ankara,5,1,3,1,6,8,-2,6,Season 61759
10,1,VFL Brussels,5,1,2,2,5,6,-1,5,Season 61759
11,1,VFL Rome,5,1,2,2,7,9,-2,5,Season 61759
12,-1,VFL Paris,5,1,2,2,4,8,-4,5,Season 61759
13,1,VFL Bern,5,1,1,3,5,12,-7,4,Season 61759
14,1,VFL Edinburgh,5,1,0,4,4,15,-11,3,Season 61759
15,1,VFL Athens,5,0,2,3,4,7,-3,2,Season 61759
16,0,VFL Vienna,5,0,2,3,4,12,-8,2,Season 61759
1,0,VFL Amsterdam,6,5,0,1,14,5,9,15,Season 61759
2,0,VFL Madrid,6,4,2,0,16,6,10,14,Season 61759
3,-1,VFL Oslo,6,4,0,2,12,8,4,12,Season 61759
4,-1,VFL Berlin,6,3,2,1,14,5,9,11,Season 61759
5,1,VFL Stockholm,6,3,2,1,11,6,5,11,Season 61759
6,-1,VFL London,6,3,1,2,13,6,7,10,Season 61759
7,-1,VFL Lisbon,6,3,1,2,9,8,1,10,Season 61759
8,1,VFL Copenhagen,6,3,0,3,5,6,-1,9,Season 61759
9,-1,VFL Brussels,6,2,2,2,6,6,0,8,Season 61759
10,1,VFL Ankara,6,1,3,2,7,11,-4,6,Season 61759
11,-1,VFL Edinburgh,6,2,0,4,6,16,-10,6,Season 61759
12,-1,VFL Athens,6,1,2,3,7,8,-1,5,Season 61759
13,1,VFL Rome,6,1,2,3,8,11,-3,5,Season 61759
14,1,VFL Paris,6,1,2,3,4,10,-6,5,Season 61759
15,1,VFL Bern,6,1,1,4,6,15,-9,4,Season 61759
16,0,VFL Vienna,6,0,2,4,4,15,-11,2,Season 61759
1,0,VFL Amsterdam,7,6,0,1,16,6,10,18,Season 61759
2,-1,VFL Oslo,7,5,0,2,13,8,5,15,Season 61759
3,-1,VFL Berlin,7,4,2,1,17,5,12,14,Season 61759
4,1,VFL Madrid,7,4,2,1,16,7,9,14,Season 61759
5,-1,VFL London,7,4,1,2,14,6,8,13,Season 61759
6,1,VFL Stockholm,7,3,2,2,11,9,2,11,Season 61759
7,-1,VFL Brussels,7,3,2,2,7,6,1,11,Season 61759
8,1,VFL Lisbon,7,3,1,3,10,10,0,10,Season 61759
9,1,VFL Copenhagen,7,3,0,4,5,7,-2,9,Season 61759
10,-1,VFL Edinburgh,7,3,0,4,8,16,-8,9,Season 61759
11,1,VFL Ankara,7,1,4,2,9,13,-4,7,Season 61759
12,-1,VFL Rome,7,1,3,3,10,13,-3,6,Season 61759
13,-1,VFL Paris,7,1,3,3,5,11,-6,6,Season 61759
14,1,VFL Athens,7,1,2,4,7,10,-3,5,Season 61759
15,0,VFL Bern,7,1,2,4,7,16,-9,5,Season 61759
16,0,VFL Vienna,7,0,2,5,4,16,-12,2,Season 61759
