1,0,VFL London,1,1,0,0,4,1,3,3,Season 61579
2,0,VFL Ankara,1,1,0,0,3,0,3,3,Season 61579
3,0,VFL Berlin,1,1,0,0,2,0,2,3,Season 61579
3,0,VFL Vienna,1,1,0,0,2,0,2,3,Season 61579
5,0,VFL Paris,1,1,0,0,2,1,1,3,Season 61579
6,0,VFL Oslo,1,1,0,0,1,0,1,3,Season 61579
6,0,VFL Brussels,1,1,0,0,1,0,1,3,Season 61579
8,0,VFL Athens,1,0,1,0,0,0,0,1,Season 61579
8,0,VFL Copenhagen,1,0,1,0,0,0,0,1,Season 61579
10,0,VFL Stockholm,1,0,0,1,1,2,-1,0,Season 61579
11,0,VFL Amsterdam,1,0,0,1,0,1,-1,0,Season 61579
11,0,VFL Rome,1,0,0,1,0,1,-1,0,Season 61579
13,0,VFL Edinburgh,1,0,0,1,0,2,-2,0,Season 61579
13,0,VFL Madrid,1,0,0,1,0,2,-2,0,Season 61579
15,0,VFL Bern,1,0,0,1,1,4,-3,0,Season 61579
16,0,VFL Lisbon,1,0,0,1,0,3,-3,0,Season 61579
1,-1,VFL Ankara,2,2,0,0,6,2,4,6,Season 61579
2,-1,VFL Oslo,2,2,0,0,4,1,3,6,Season 61579
3,1,VFL London,2,1,1,0,6,3,3,4,Season 61579
4,-1,VFL Paris,2,1,1,0,3,2,1,4,Season 61579
5,-1,VFL Brussels,2,1,1,0,2,1,1,4,Season 61579
6,-1,VFL Copenhagen,2,1,1,0,1,0,1,4,Season 61579
7,-1,VFL Edinburgh,2,1,0,1,3,2,1,3,Season 61579
8,1,VFL Vienna,2,1,0,1,2,1,1,3,Season 61579
9,-1,VFL Amsterdam,2,1,0,1,3,3,0,3,Season 61579
10,1,VFL Berlin,2,1,0,1,2,3,-1,3,Season 61579
11,-1,VFL Madrid,2,1,0,1,1,2,-1,3,Season 61579
12,1,VFL Stockholm,2,0,1,1,3,4,-1,1,Season 61579
13,1,VFL Athens,2,0,1,1,1,3,-2,1,Season 61579
