1,0,VFL Madrid,1,1,0,0,3,2,1,3,Season 61818
2,0,VFL Paris,1,1,0,0,1,0,1,3,Season 61818
2,0,VFL Stockholm,1,1,0,0,1,0,1,3,Season 61818
2,0,VFL Vienna,1,1,0,0,1,0,1,3,Season 61818
5,0,VFL Amsterdam,1,0,1,0,1,1,0,1,Season 61818
5,0,VFL Bern,1,0,1,0,1,1,0,1,Season 61818
5,0,VFL Copenhagen,1,0,1,0,1,1,0,1,Season 61818
5,0,VFL London,1,0,1,0,1,1,0,1,Season 61818
5,0,VFL Oslo,1,0,1,0,1,1,0,1,Season 61818
5,0,VFL Rome,1,0,1,0,1,1,0,1,Season 61818
11,0,VFL Lisbon,1,0,1,0,0,0,0,1,Season 61818
11,0,VFL Brussels,1,0,1,0,0,0,0,1,Season 61818
13,0,VFL Ankara,1,0,0,1,2,3,-1,0,Season 61818
14,0,VFL Athens,1,0,0,1,0,1,-1,0,Season 61818
14,0,VFL Berlin,1,0,0,1,0,1,-1,0,Season 61818
14,0,VFL Edinburgh,1,0,0,1,0,1,-1,0,Season 61818
1,-1,VFL London,2,1,1,0,4,3,1,4,Season 61818
1,-1,VFL Oslo,2,1,1,0,4,3,1,4,Season 61818
1,-1,VFL Rome,2,1,1,0,4,3,1,4,Season 61818
4,1,VFL Madrid,2,1,1,0,3,2,1,4,Season 61818
5,1,VFL Vienna,2,1,1,0,2,1,1,4,Season 61818
6,-1,VFL Lisbon,2,1,1,0,1,0,1,4,Season 61818
6,-1,VFL Brussels,2,1,1,0,1,0,1,4,Season 61818
8,-1,VFL Edinburgh,2,1,0,1,6,1,5,3,Season 61818
9,1,VFL Paris,2,1,0,1,3,3,0,3,Season 61818
10,1,VFL Stockholm,2,1,0,1,1,1,0,3,Season 61818
11,1,VFL Amsterdam,2,0,2,0,2,2,0,2,Season 61818
12,1,VFL Copenhagen,2,0,2,0,1,1,0,2,Season 61818
13,1,VFL Bern,2,0,1,1,3,4,-1,1,Season 61818
14,1,VFL Ankara,2,0,0,2,4,6,-2,0,Season 61818
15,1,VFL Berlin,2,0,0,2,0,2,-2,0,Season 61818
16,1,VFL Athens,2,0,0,2,0,7,-7,0,Season 61818
1,0,VFL London,3,2,1,0,7,5,2,7,Season 61818
2,-1,VFL Brussels,3,2,1,0,2,0,2,7,Season 61818
3,-1,VFL Amsterdam,3,1,2,0,3,2,1,5,Season 61818
3,-1,VFL Lisbon,3,1,2,0,3,2,1,5,Season 61818
5,-1,VFL Copenhagen,3,1,2,0,2,1,1,5,Season 61818
6,-1,VFL Bern,3,1,1,1,5,4,1,4,Season 61818
7,1,VFL Madrid,3,1,1,1,5,5,0,4,Season 61818
7,-1,VFL Paris,3,1,1,1,5,5,0,4,Season 61818
9,1,VFL Rome,3,1,1,1,4,4,0,4,Season 61818
10,1,VFL Oslo,3,1,1,1,4,5,-1,4,Season 61818
11,1,VFL Vienna,3,1,1,1,2,3,-1,4,Season 61818
12,1,VFL Edinburgh,3,1,0,2,6,2,4,3,Season 61818
13,-1,VFL Ankara,3,1,0,2,6,6,0,3,Season 61818
14,-1,VFL Berlin,3,1,0,2,3,4,-1,3,Season 61818
14,1,VFL Stockholm,3,1,0,2,3,4,-1,3,Season 61818
16,0,VFL Athens,3,0,0,3,0,8,-8,0,Season 61818
1,-1,VFL Amsterdam,4,2,2,0,6,2,4,8,Season 61818
2,1,VFL London,4,2,2,0,9,7,2,8,Season 61818
3,0,VFL Lisbon,4,2,2,0,4,2,2,8,Season 61818
4,-1,VFL Oslo,4,2,1,1,8,5,3,7,Season 61818
5,-1,VFL Bern,4,2,1,1,7,5,2,7,Season 61818
5,-1,VFL Madrid,4,2,1,1,7,5,2,7,Season 61818
7,0,VFL Paris,4,2,1,1,6,5,1,7,Season 61818
8,1,VFL Brussels,4,2,1,1,2,3,-1,7,Season 61818
9,-1,VFL Berlin,4,2,0,2,7,4,3,6,Season 61818
10,1,VFL Rome,4,1,2,1,6,6,0,5,Season 61818
11,1,VFL Copenhagen,4,1,2,1,2,5,-3,5,Season 61818
12,1,VFL Vienna,4,1,1,2,2,5,-3,4,Season 61818
13,1,VFL Edinburgh,4,1,0,3,6,6,0,3,Season 61818
14,1,VFL Ankara,4,1,0,3,6,7,-1,3,Season 61818
15,1,VFL Stockholm,4,1,0,3,3,5,-2,3,Season 61818
16,0,VFL Athens,4,0,0,4,1,10,-9,0,Season 61818
1,0,VFL Amsterdam,5,3,2,0,10,3,7,11,Season 61818
2,-1,VFL Lisbon,5,3,2,0,8,2,6,11,Season 61818
3,1,VFL London,5,3,2,0,12,8,4,11,Season 61818
4,-1,VFL Brussels,5,3,1,1,3,3,0,10,Season 61818
5,0,VFL Madrid,5,2,2,1,10,8,2,8,Season 61818
6,1,VFL Oslo,5,2,1,2,9,8,1,7,Season 61818
7,1,VFL Bern,5,2,1,2,7,6,1,7,Season 61818
8,1,VFL Paris,5,2,1,2,6,7,-1,7,Season 61818
9,0,VFL Berlin,5,2,0,3,8,8,0,6,Season 61818
10,0,VFL Rome,5,1,3,1,6,6,0,6,Season 61818
11,-1,VFL Stockholm,5,2,0,3,5,5,0,6,Season 61818
12,1,VFL Copenhagen,5,1,3,1,3,6,-3,6,Season 61818
13,1,VFL Vienna,5,1,2,2,2,5,-3,5,Season 61818
14,0,VFL Ankara,5,1,1,3,7,8,-1,4,Season 61818
15,1,VFL Edinburgh,5,1,0,4,6,10,-4,3,Season 61818
16,0,VFL Athens,5,0,1,4,4,13,-9,1,Season 61818
