"['Final result', '1', '2.40', 'X', '3.70', '2', '2.75', 'First half', '1', '3.35', 'X', '2.00', '2', '3.95', 'Total goals (1.5)', 'over', '1.45', 'under', '2.75', 'Total goals (2.5)', 'over', '2.35', 'under', '1.60', 'Total goals (3.5)', 'over', '4.60', 'under', '1.20', 'Full time result including handicap (0:1)', '1', '5.00', 'X', '3.95', '2', '1.60', 'Full time result including handicap (0:2)', '1', '15.00', 'X', '6.50', '2', '1.16', 'Full time result including handicap (1:0)', '1', '1.45', 'X', '4.10', '2', '6.75', 'First to score (0:0)', '1', '2.10', 'X', '9.50', '2', '2.25', 'Correct result', '0:0', '9.50', '1:0', '7.50', '2:0', '11.75', '3:0', '33.00', '0:1', '8.00', '1:1', '8.00', '2:1', '10.75', '3:1', '27.00', '0:2', '15.00', '1:2', '12.00', '2:2', '26.00', '3:2', '47.00', '0:3', '47.00', '1:3', '41.00', '2:3', '41.00', '3:3', '300.00', 'other', '16.50', 'Fri 17:44', 'VFL COPENHAGEN  VFL STOCKHOLM']"
"['Final result', '1', '1.30', 'X', '5.75', '2', '9.00', 'First half', '1', '1.65', 'X', '3.15', '2', '8.75', 'Total goals (2.5)', 'over', '1.50', 'under', '2.60', 'Total goals (3.5)', 'over', '2.25', 'under', '1.65', 'Total goals (4.5)', 'over', '4.10', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '1.80', 'X', '4.05', '2', '3.55', 'Full time result including handicap (0:2)', '1', '3.10', 'X', '4.10', '2', '1.95', 'Full time result including handicap (1:0)', '1', '1.07', 'X', '9.00', '2', '27.00', 'First to score (0:0)', '1', '1.30', 'X', '25.00', '2', '4.45', 'Correct result', '0:0', '25.00', '1:0', '11.25', '2:0', '7.25', '3:0', '10.50', '0:1', '28.00', '1:1', '12.50', '2:1', '8.75', '3:1', '11.75', '0:2', '115.00', '1:2', '32.00', '2:2', '23.00', '3:2', '27.00', '0:3', '460.00', '1:3', '86.00', '2:3', '72.00', '3:3', '210.00', 'other', '3.95', 'Fri 17:44', 'VFL LONDON  VFL EDINBURGH']"
"['Final result', '1', '5.50', 'X', '4.80', '2', '1.50', 'First half', '1', '5.75', 'X', '3.05', '2', '1.85', 'Total goals (1.5)', 'over', '1.22', 'under', '4.45', 'Total goals (2.5)', 'over', '1.75', 'under', '2.10', 'Total goals (3.5)', 'over', '3.05', 'under', '1.40', 'Full time result including handicap (0:1)', '1', '15.75', 'X', '6.75', '2', '1.15', 'Full time result including handicap (1:0)', '1', '2.60', 'X', '3.65', '2', '2.40', 'Full time result including handicap (2:0)', '1', '1.55', 'X', '4.25', '2', '5.00', 'First to score (0:0)', '1', '3.25', 'X', '18.00', '2', '1.50', 'Correct result', '0:0', '18.00', '1:0', '19.25', '2:0', '32.00', '3:0', '200.00', '0:1', '9.50', '1:1', '9.75', '2:1', '19.50', '3:1', '125.00', '0:2', '7.00', '1:2', '7.75', '2:2', '24.00', '3:2', '43.00', '0:3', '13.50', '1:3', '13.25', '2:3', '31.00', '3:3', '100.00', 'other', '7.25', 'Fri 17:44', 'VFL BERN  VFL MADRID']"
"['Final result', '1', '5.50', 'X', '3.80', '2', '1.65', 'First half', '1', '5.75', 'X', '2.45', '2', '2.15', 'Total goals (1.5)', 'over', '1.50', 'under', '2.65', 'Total goals (2.5)', 'over', '2.50', 'under', '1.55', 'Total goals (3.5)', 'over', '5.25', 'under', '1.16', 'Full time result including handicap (0:1)', '1', '16.75', 'X', '6.50', '2', '1.15', 'Full time result including handicap (1:0)', '1', '2.25', 'X', '3.35', '2', '2.95', 'Full time result including handicap (2:0)', '1', '1.40', 'X', '4.45', '2', '7.25', 'First to score (0:0)', '1', '3.10', 'X', '9.75', '2', '1.65', 'Correct result', '0:0', '9.75', '1:0', '11.75', '2:0', '27.00', '3:0', '230.00', '0:1', '5.50', '1:1', '8.75', '2:1', '24.00', '3:1', '140.00', '0:2', '6.75', '1:2', '10.00', '2:2', '27.00', '3:2', '330.00', '0:3', '12.00', '1:3', '16.50', '2:3', '120.00', '3:3', '125.00', 'other', '20.00', 'Fri 17:44', 'VFL VIENNA  VFL BERLIN']"
"['Final result', '1', '3.95', 'X', '3.35', '2', '2.00', 'First half', '1', '4.35', 'X', '2.55', '2', '2.35', 'Total goals (1.5)', 'over', '1.35', 'under', '3.25', 'Total goals (2.5)', 'over', '2.20', 'under', '1.70', 'Total goals (3.5)', 'over', '3.95', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '11.75', 'X', '5.00', '2', '1.25', 'Full time result including handicap (1:0)', '1', '1.80', 'X', '3.95', '2', '3.65', 'Full time result including handicap (2:0)', '1', '1.30', 'X', '5.50', '2', '8.75', 'First to score (0:0)', '1', '2.85', 'X', '12.00', '2', '1.70', 'Correct result', '0:0', '12.00', '1:0', '11.25', '2:0', '25.00', '3:0', '64.00', '0:1', '7.75', '1:1', '6.50', '2:1', '14.50', '3:1', '78.00', '0:2', '9.25', '1:2', '10.75', '2:2', '19.25', '3:2', '47.00', '0:3', '22.00', '1:3', '21.00', '2:3', '44.00', '3:3', '86.00', 'other', '12.25', 'Fri 17:44', 'VFL ATHENS  VFL AMSTERDAM']"
"['Final result', '1', '1.70', 'X', '3.55', '2', '5.50', 'First half', '1', '2.35', 'X', '2.30', '2', '5.25', 'Total goals (1.5)', 'over', '1.40', 'under', '3.00', 'Total goals (2.5)', 'over', '2.40', 'under', '1.55', 'Total goals (3.5)', 'over', '5.25', 'under', '1.16', 'Full time result including handicap (0:1)', '1', '3.15', 'X', '3.30', '2', '2.15', 'Full time result including handicap (0:2)', '1', '8.75', 'X', '4.50', '2', '1.35', 'Full time result including handicap (1:0)', '1', '1.15', 'X', '7.00', '2', '14.75', 'First to score (0:0)', '1', '1.65', 'X', '10.00', '2', '3.00', 'Correct result', '0:0', '10.00', '1:0', '6.75', '2:0', '6.75', '3:0', '19.75', '0:1', '12.25', '1:1', '6.50', '2:1', '7.00', '3:1', '18.75', '0:2', '33.00', '1:2', '27.00', '2:2', '37.00', '3:2', '90.00', '0:3', '74.00', '1:3', '100.00', '2:3', '200.00', '3:3', '280.00', 'other', '14.75', 'Fri 17:53', 'VFL BRUSSELS  VFL ANKARA']"
"['Final result', '1', '5.50', 'X', '3.65', '2', '1.70', 'First half', '1', '6.75', 'X', '2.45', '2', '2.05', 'Total goals (1.5)', 'over', '1.60', 'under', '2.35', 'Total goals (2.5)', 'over', '2.60', 'under', '1.50', 'Total goals (3.5)', 'over', '5.00', 'under', '1.18', 'Full time result including handicap (0:1)', '1', '19.25', 'X', '6.25', '2', '1.16', 'Full time result including handicap (1:0)', '1', '2.20', 'X', '2.95', '2', '3.45', 'Full time result including handicap (2:0)', '1', '1.30', 'X', '5.75', '2', '7.25', 'First to score (0:0)', '1', '3.80', 'X', '8.75', '2', '1.55', 'Correct result', '0:0', '8.75', '1:0', '12.50', '2:0', '49.00', '3:0', '195.00', '0:1', '4.30', '1:1', '7.75', '2:1', '19.50', '3:1', '62.00', '0:2', '9.00', '1:2', '11.75', '2:2', '34.00', '3:2', '110.00', '0:3', '15.50', '1:3', '23.00', '2:3', '82.00', '3:3', '440.00', 'other', '14.00', 'Fri 17:53', 'VFL COPENHAGEN  VFL BERLIN']"
"['Final result', '1', '2.05', 'X', '3.90', '2', '3.25', 'First half', '1', '2.20', 'X', '3.40', '2', '3.35', 'Total goals (2.5)', 'over', '1.55', 'under', '2.50', 'Total goals (3.5)', 'over', '2.45', 'under', '1.55', 'Total goals (4.5)', 'over', '4.80', 'under', '1.18', 'Full time result including handicap (0:1)', '1', '3.40', 'X', '4.50', '2', '1.75', 'Full time result including handicap (0:2)', '1', '7.25', 'X', '5.75', '2', '1.30', 'Full time result including handicap (1:0)', '1', '1.35', 'X', '5.50', '2', '6.25', 'First to score (0:0)', '1', '1.80', 'X', '24.00', '2', '2.30', 'Correct result', '0:0', '24.00', '1:0', '15.50', '2:0', '14.00', '3:0', '24.00', '0:1', '17.00', '1:1', '8.50', '2:1', '9.00', '3:1', '16.00', '0:2', '21.00', '1:2', '11.50', '2:2', '12.75', '3:2', '35.00', '0:3', '39.00', '1:3', '27.00', '2:3', '44.00', '3:3', '48.00', 'other', '6.00', 'Fri 17:53', 'VFL MADRID  VFL AMSTERDAM']"
"['Final result', '1', '1.50', 'X', '5.25', '2', '5.50', 'First half', '1', '1.75', 'X', '3.45', '2', '5.25', 'Total goals (2.5)', 'over', '1.45', 'under', '2.70', 'Total goals (3.5)', 'over', '2.20', 'under', '1.70', 'Total goals (4.5)', 'over', '3.85', 'under', '1.25', 'Full time result including handicap (0:1)', '1', '2.15', 'X', '4.15', '2', '2.65', 'Full time result including handicap (0:2)', '1', '4.40', 'X', '4.00', '2', '1.65', 'Full time result including handicap (1:0)', '1', '1.16', 'X', '7.25', '2', '12.25', 'First to score (0:0)', '1', '1.45', 'X', '36.00', '2', '3.15', 'Correct result', '0:0', '36.00', '1:0', '11.00', '2:0', '9.25', '3:0', '12.00', '0:1', '27.00', '1:1', '11.25', '2:1', '10.00', '3:1', '10.00', '0:2', '50.00', '1:2', '23.00', '2:2', '18.00', '3:2', '26.00', '0:3', '74.00', '1:3', '52.00', '2:3', '32.00', '3:3', '52.00', 'other', '4.95', 'Fri 17:53', 'VFL ROME  VFL STOCKHOLM']"
"['Final result', '1', '4.55', 'X', '4.10', '2', '1.70', 'First half', '1', '5.75', 'X', '2.30', '2', '2.25', 'Total goals (1.5)', 'over', '1.55', 'under', '2.45', 'Total goals (2.5)', 'over', '2.70', 'under', '1.45', 'Total goals (3.5)', 'over', '6.25', 'under', '1.12', 'Full time result including handicap (0:1)', '1', '15.75', 'X', '5.50', '2', '1.20', 'Full time result including handicap (1:0)', '1', '2.15', 'X', '3.35', '2', '3.15', 'Full time result including handicap (2:0)', '1', '1.35', 'X', '4.75', '2', '7.75', 'First to score (0:0)', '1', '3.60', 'X', '9.00', '2', '1.55', 'Correct result', '0:0', '9.00', '1:0', '9.50', '2:0', '32.00', '3:0', '105.00', '0:1', '5.00', '1:1', '9.00', '2:1', '18.50', '3:1', '110.00', '0:2', '6.75', '1:2', '12.00', '2:2', '47.00', '3:2', '200.00', '0:3', '13.00', '1:3', '26.00', '2:3', '90.00', 'other', '15.75', 'Fri 17:53', 'VFL VIENNA  VFL LISBON']"
